4069;Kabinet;0;193.0;234.0;229.0;264.0
4070;Kabinet;0;187.0;259.0;224.0;286.0
4072;Kabinet;0;183.0;285.0;217.0;304.0
4074;Kabinet;0;179.0;301.0;213.0;317.0
4075;Kabinet;0;173.0;315.0;209.0;334.0
4077;Kabinet;0;170.0;331.0;208.0;351.0
4079;Kabinet;0;164.0;348.0;201.0;367.0
4080;Kabinet;0;157.0;367.0;197.0;386.0
4035;Kabinet;0;705.0;51.0;742.0;86.0
4036;Kabinet;0;685.0;77.0;722.0;97.0
4037;Kabinet;0;674.0;93.0;704.0;112.0
4038;Kabinet;0;659.0;105.0;697.0;123.0
4039;Kabinet;0;650.0;120.0;687.0;140.0
4040;Kabinet;0;640.0;136.0;671.0;156.0
4041;Kabinet;0;626.0;150.0;661.0;168.0
4042;Kabinet;0;614.0;164.0;647.0;180.0
4043;Kabinet;0;603.0;176.0;640.0;224.0
